,Name,Country,Latitude,Longitude,Population,% Evangelical,Language,Religion,,,,,,,
1,Abdul,India,25.05131172,84.22023723,43000,0.00%,"Bengli,Urdu",,,,,,,,
,Abdul,Bangladesh,22.99644425,89.83624592,44000,,,,,,,,,,
4,Ahar,India,28.83035932,79.66381356,1682300,0.00%,Hindi,Hindu,,,,,,,
,Ahmadi,Pakistan,31.37338677,74.37529497,102000,,,,,,,,,,
5,Ahmadi,India,28.32409064,79.93469751,189200,0.00%,"Western Punjabi,Urdu",,,,,,,,
7,Albanians,Albania,41.10981496,20.08186067,5418500,0.44%,"Gheg,Albanian",,,,,,,,
8,Algerians (Arab),Algeria,35.99742458,5.389438574,35854000,0.02%,Algerian Arabic,Muslim,,,,,,,
9,Amazigh,Morocco,32.6087,-4.0699,4708200,0.07%,Central Atlas Tamazight,Muslim,,,,,,,
,Amazigh,Algeria,33.563667,-0.28593,,,,,,,,,,,
10,"Amhara,Wollo",Ethiopia,11.14157322,39.63304795,6049000,0.20%,Amharic,,,,,,,,
11,Ansari,India,29.67262187,78.91067316,17228500,0.00%,Urdu,Muslim,,,,,,,
,Ansari,Pakistan,31.38106361,74.37745094,5019000,,,,,,,,,,
12,Ansari (Dagi),India,29.67262187,78.91067316,158000,0.00%,Hindi,Hindu,,,,,,,
,Arab Bedouin,Jordan,31.87743637,36.82711587,,,,,,,,,,,
,Arab Bedouin,Saudia Arabia,,,,,,,,,,,,,
14,Arab Moroccan,Morocco,33.57417682,-7.591613936,29809500,0.08%,Spoken Moroccan Arabic,Muslim,,,,,,,
15,Arabe Nor (Chad) - Baggara Shuwa Arab,Chad,12.12585153,15.08650856,4021000,0.33%,Spoken Chadian Arabic,Muslim,,,,,,,
16,Archi,Russia,42.32581,46.82881,2100,0.19%,Archi,Muslim,,,,,,,
19,Avar (Dagestani),Russia,44.22168,41.88952,893700,0.01%,Avar,Muslim,,,,,,,
20,Azeris,Azerbaijan,39.94044,46.62271,10046000,0.20%,North Azerbaijani,Muslim,,,,,,,
21,Badhai (Sharma),India,25.05131172,84.22023723,7554000,Unknown,Hindi,Hindu,,,,,,,
,Badhi,India,32.59975279,76.73760545,,,,,,,,,,,
22,Badhi,Nepal,28.67356742,82.04978661,91000,0.00%,"Hindi,Nepali",Hindu,,,,,,,
23,Bagdi,India,23.32316237,72.62463824,3542000,0.00%,Bengali,Hindu,,,,,,,
24,Bairagi,India,25.05131172,84.22023723,4583000,0.00%,Hindi,Hindu,,,,,,,
25,Balinese,Indonesia,-8.35714,115.07496,4188000,0.15%,Bali,Hindu,,,,,,,
26,Balmiki,India,25.05131172,84.22023723,5653600,0.00%,Hindi,Hindu,,,,,,,
27,Bangali,India,25.05131172,84.22023723,86000,0.00%,"Hindi,Maithili",,,,,,,,
,Bengali,Nepal,28.34462757,82.46513378,,,,,,,,,,,
28,Bania Barnwal (Gupta),India,,,16702000,0.00%,Hindi,Hindu,,,,,,,
29,Banjara,India,25.05131172,84.22023723,7242600,0.15%,Lambadi,Hindu,,,,,,,
31,Bansphor (Bansphod),India,25.05131172,84.22023723,173000,0.00%,Hindi,Hindu,,,,,,,
33,Baranwal Bania (Barnwal),India,25.05131172,84.22023723,60000,0.00%,Hindi,Hindu,,,,,,,
34,Barhai,India,25.05131172,84.22023723,7554000,0.00%,Hindi,Hindu,,,,,,,
35,Bari,India,25.05131172,84.22023723,763000,0.00%,Hindi,Hindu,,,,,,,
36,Barma,Chad,11.1608,16.22059,142000,0.01%,Bagirmi,Muslim,,,,,,,
37,Bashkhirs (Central Asia),Russia,44.22168,41.88952,1711200,1.08%,Bashkort,Muslim,,,,,,,
38,Basor (Baskar),India,25.05131172,84.22023723,1037000,0.00%,Hindi,Hindu,,,,,,,
39,Batwal (Barwala),India,25.05131172,84.22023723,98000,0.00%,Dogri,Hindu,,,,,,,
40,Beldar,India,25.05131172,84.22023723,1956600,0.00%,Kannada,Hindu,,,,,,,
43,Berabish Bedouin (Bidan),Mauritania,16.24590067,-8.161375848,130000,0.00%,Hassaniya,Muslim,,,,,,,
44,Berbers (North Africa) - Kabyle?,Algeria,35.99742458,5.389438574,7254400,0.24%,Amazigh,Muslim,,,,,,,
45,Bharati,India,25.05131172,84.22023723,1386300,0.00%,Hindi,Hindu,,,,,,,
46,Bhat,India,25.05131172,84.22023723,1590000,0.00%,Hindi,Hindu,,,,,,,
47,Bhil,India,25.05131172,84.22023723,14193000,0.00%,Hindi,Hindu,,,,,,,
48,Bhuiya,India,25.05131172,84.22023723,1726000,0.06%,Hindi,Hindu,,,,,,,
49,Bhumihar Brahmin,India,25.05131172,84.22023723,3221700,0.00%,Hindi,Hindu,,,,,,,
67,Bhutanese-Nepali (Drukpa),Bhutan,27.474116,89.635157,232700,0.00%,Dzonghz,Buddhist,,,,,,,
