PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
A'ou,China,2600,Mandarin Chinese,Ethnoreligion - Chinese Folk Religion,26.8987,105.7893,1,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0138,113993,A'ou,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,CHN
Abai Sungai,Malaysia,1200,Abai Sungai,Islam - Sunni,5.687364,118.371083,1,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,100005,Abai Sungai,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,MYS
Abanyom,Nigeria,35000,Abanyom,Christianity - Non-Evangelical Protestant,6.30619,8.63055,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100008,Abanyom,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,NGA
Abau,Papua New Guinea,15500,Abau,Christianity - Non-Evangelical Protestant,-3.97222,141.32359,5,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100010,Abau,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PNG
Abenaki,Canada,2800,French,Christianity - Roman Catholicism,46.0791,-72.8134,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,100021,Abnaki-Penobscot,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAN
Abu-Junuk,Sudan,10500,Undetermined,Islam - Sunni,11.982667,28.961389,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,119453,Abu-Junuk,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,SDN
Abua,Nigeria,54500,Abua,Christianity - Non-Evangelical Protestant,4.83057,6.61492,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100028,Abua,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,NGA
Abui,Indonesia,29000,Abui,Christianity - Evangelical Protestant,-8.31058,124.58793,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,100029,Abui,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,IDN
Accukattavandlu,India,12000,Telugu,Hinduism,16.998786,81.800167,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117692,Accukattavandlu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Achang,China,37500,Achang,Buddhism - Theravada,24.287,97.836,5,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,100038,Achang,CHN,CH,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,CHN
