PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
A'ou,a'ou,China,2600,Mandarin Chinese,Ethnoreligion - Chinese Folk Religion,26.8987,105.7893,1,Unengaged,Medium,Not Free,Very High,Low,Other,A011,C0138,113993,A'ou,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,a'ou
Abai Sungai,abai sun-gai,Malaysia,1200,Abai Sungai,Islam - Sunni,5.687364,118.371083,1,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,100005,Abai Sungai,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,MYS,abai sungai
Abanyom,aba-nyo-m,Nigeria,35000,Abanyom,Christianity - Non-Evangelical Protestant,6.30619,8.63055,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100008,Abanyom,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,aba-nyom
Abau,abau,Papua New Guinea,15500,Abau,Christianity - Non-Evangelical Protestant,-3.97222,141.32359,5,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,100010,Abau,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,PNG,abau
Abenaki,abe-naki,Canada,2800,French,Christianity - Roman Catholicism,46.0791,-72.8134,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,100021,Abnaki-Penobscot,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CAN,abe-naki
Abu-Junuk,abu--ju-nuk,Sudan,10500,Undetermined,Islam - Sunni,11.982667,28.961389,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0156,119453,Abu-Junuk,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,SDN,abu--junuk
Abua,abua,Nigeria,54500,Abua,Christianity - Non-Evangelical Protestant,4.83057,6.61492,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,100028,Abua,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,NGA,abua
Abui,abui,Indonesia,29000,Abui,Christianity - Evangelical Protestant,-8.31058,124.58793,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,100029,Abui,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,IDN,abui
Accukattavandlu,accu-kat-tava-ndlu,India,12000,Telugu,Hinduism,16.998786,81.800167,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117692,Accukattavandlu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,accukat-tavandlu
Achang,acha-ng,China,37500,Achang,Buddhism - Theravada,24.287,97.836,5,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,100038,Achang,CHN,CH,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""10","000+""",Indigenous,CHN,ach--ang
"""Achang",acha-ng,,China,8300,Achang,Buddhism - Mahayana,24.462,97.896,4,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,113977,"""Achang"," Husa""",CHN,CH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CHN,ach--ang husa
Achenese,ache-nee-z,United States,375,Aceh,Islam - Sunni,39.96584,-75.200357,1,Unengaged,Little,Free,Moderate,High,Caution,A008,C0002,100036,Acehnese,USA,US,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,USA,ach--enese
Acholi,acho-li,Uganda,2445000,Acholi,Christianity - Roman Catholicism,3.17234,32.67602,1,Unengaged,Strenuous,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0153,100042,Acholi,UGA,UG,,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""1",000,"000+""",Indigenous,UGA,ach--oli
Acholi,acho-li,United States,500,Acholi,Ethnoreligion - Animism,43.6951,-70.2911,4,Unengaged,Little,Free,Moderate,High,Caution,A013,C0153,100042,Acholi,USA,US,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,ach--oli
"""Achumawi",achu-mawi,,United States,1200,English,Christianity - Non-Evangelical Protestant,41.479,-120.484,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,100046,Achumawi,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,USA,ach--umawi pitt river
Acre Yaminahua,acre yami-nahua,Bolivia,250,Yaminahua,Ethnoreligion - Animism,-11.1285,-69.3701,4,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A007,C0201,110961,"""Yaminahua"," Jaminawa""",BOL,BL,PE,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,BOL,acre yami-nahua
Adabe,adabe,Timor-Leste,6400,Atauran,Christianity - Roman Catholicism,-8.22674,125.57573,6,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A008,C0217,100050,Adabe,TLS,TT,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,TLS,adabe
Adara,adara,Nigeria,142000,Adara,Ethnoreligion - Animism,9.99696,7.45933,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,104379,Adara,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,adara
Adi,adi,China,1400,Adi,Ethnoreligion,29.249612,95.171824,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0004,113979,Adi,CHN,CH,IN,,,South Asian Peoples,,0,Unengaged and Unreached,"""<10","000""",Indigenous,CHN,adi
Adiyan,adi-yan,India,20500,Ravula,Hinduism - Folk,12.181215,75.649705,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,111273,Adiyan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,adiyan
Adja,adja,South Sudan,325,Gbaya,Ethnoreligion,8.5526,25.6197,1,Unengaged,Extreme,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0203,100169,Ajja,SSD,OD,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,SSD,adja
Aduge,aduge,Nigeria,4200,Aduge,Ethnoreligion - Animism,7.64567,6.13085,6,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,100078,Aduge,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,NGA,aduge
